,,weekday,holiday,rush hour,accident,construction,match,concert,festival,weather,temperature,humidity,precipitation,wind-speed,wind-direction,solar-radiation,Ginza-Line・inbound,Ginza-Line・outbound,Chiyoda-Line・inbound,Chiyoda-Line・outbound,Nanboku-Line・inbound,Nanboku-Line・outbound,Marunouchi-Line・inbound,Marunouchi-Line・outbound,delay
2022.07.01,0:00~1:00,1,0,0,0,0,0,0,0,1,26.7,87,0,1,8,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,1,26.4,87,0,1.1,7,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,1,26.1,89,0,1.7,7,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,1,25.8,89,0,1.9,10,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,1,25.6,91,0,0.7,14,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,1,26.7,79,0,0.7,15,0.02,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,1,28.1,71,0,1.7,7,0.35,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,1,30.1,67,0,1,15,0.98,3,3,4,4,5,3,3,3,1
,8:00~9:00,1,0,1,0,0,0,0,0,1,31.8,58,0,2.2,7,1.66,4,4,5,5,5,3,3,3,1
,9:00~10:00,1,0,0,0,1,0,0,0,1,32.8,54,0,2,15,2.29,3,3,4,4,5,3,3,2,1
,10:00~11:00,1,0,0,0,1,0,0,0,1,34.8,48,0,1.7,7,2.81,2,2,3,3,4,2,2,2,1
,11:00~12:00,1,0,0,0,1,0,0,0,1,35.9,47,0,2.1,7,3.15,2,2,2,2,3,2,2,2,1
,12:00~13:00,1,0,0,0,1,0,0,0,1,35.6,46,0,4.6,7,3.31,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,1,36.1,44,0,3.8,7,3.27,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,1,35.5,47,0,5.3,7,3.02,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,1,35.7,48,0,4,7,2.57,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,1,35.1,51,0,4.3,6,1.99,2,2,2,2,3,2,2,2,0
,17:00~18:00,1,0,0,0,1,0,0,0,1,32.5,60,0,4.8,6,0.89,2,2,2,2,3,2,3,2,0
,18:00~19:00,1,0,1,0,0,0,0,0,1,30.7,64,0,3.7,8,0.2,3,3,3,3,4,3,3,3,0
,19:00~20:00,1,0,1,0,0,0,0,0,1,29.3,72,0,2.6,6,0.09,2,2,2,2,4,3,3,3,0
,20:00~21:00,1,0,0,0,0,0,0,0,1,27.8,81,0,3.6,7,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,1,0,0,0,0,0,0,0,1,27.5,84,0,2.2,6,0,2,2,2,2,3,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,1,27.3,84,0,2.1,6,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,1,26.7,87,0,2.7,7,0,1,1,1,1,2,1,1,1,0
2022.07.02,0:00~1:00,0,1,0,0,0,0,0,0,1,26.7,87,0,1,6,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,1,26.3,87,0,1.8,7,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,1,26,87,0,1.1,8,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,1,25.7,89,0,0.7,7,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,1,26.4,88,0,1.4,6,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,1,25.6,93,0,1.6,7,0.02,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,1,27.1,87,0,0.7,12,0.34,2,2,2,2,4,2,3,2,0
,7:00~8:00,0,1,0,0,0,0,0,0,1,29,76,0,1.2,8,0.92,3,3,4,4,4,2,3,2,0
,8:00~9:00,0,1,0,0,0,0,0,0,1,31.4,68,0,1.5,2,1.6,4,4,5,5,4,2,3,2,0
,9:00~10:00,0,1,0,0,1,0,0,0,1,32,60,0,2.2,3,2.44,3,3,4,4,5,2,3,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,1,32.5,64,0,4,7,2.61,2,2,3,3,4,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,1,33.2,61,0,4.1,7,2.97,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,1,34,61,0,5.5,6,3.25,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,1,33.6,59,0,6,6,3.24,2,2,2,2,3,2,2,2,0
,14:00~15:00,0,1,0,0,1,0,0,0,1,34.3,57,0,5.5,6,2.99,2,2,2,2,3,2,2,2,0
,15:00~16:00,0,1,0,0,1,0,0,0,1,33,57,0,5.4,6,2.49,2,2,2,2,3,2,2,2,0
,16:00~17:00,0,1,0,0,1,0,0,0,1,31.5,63,0,3.8,6,1.18,2,2,2,2,3,2,2,2,0
,17:00~18:00,0,1,0,0,1,0,0,0,1,30.4,66,0,3.8,6,1.05,2,2,2,2,4,3,3,3,0
,18:00~19:00,0,1,0,0,0,0,1,0,3,29.6,71,0,2.8,6,0.3,3,3,3,3,5,4,3,3,0
,19:00~20:00,0,1,0,0,0,0,1,0,3,28.8,72,0,3.1,7,0.07,2,2,2,2,5,4,3,3,0
,20:00~21:00,0,1,0,0,0,0,1,0,3,27.9,77,0,2.8,7,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,0,1,0,0,0,0,0,0,1,27.9,69,0,3.2,7,0,2,2,2,2,3,2,2,2,0
,22:00~23:00,0,1,0,0,0,0,0,0,1,27.5,71,0,2.5,8,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,0,1,0,0,0,0,0,0,1,27.6,75,0,2.8,8,0,1,1,1,1,2,1,1,1,0
2022.07.03,0:00~1:00,0,1,0,0,0,0,0,0,1,27.1,78,0,2.4,9,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,1,26.3,83,0,1.2,11,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,1,25.8,86,0,1.3,9,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,1,25.4,89,0,0.7,5,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,1,25.4,92,0,1.6,9,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,1,26.6,88,0,1.1,8,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,2,27.1,86,0,1.1,12,0.07,2,2,2,2,4,2,3,2,0
,7:00~8:00,0,1,0,0,0,0,0,0,2,29,75,0,1.3,12,0.21,3,3,4,4,4,2,3,2,0
,8:00~9:00,0,1,0,0,0,0,0,0,2,30.7,69,0,1.2,11,0.48,4,4,5,5,4,2,3,2,0
,9:00~10:00,0,1,0,0,0,0,0,0,4,30.9,67,0.01,1.5,11,1.48,3,3,4,4,5,2,3,2,0
,10:00~11:00,0,1,0,0,0,0,0,0,4,29.8,77,0.01,1.5,9,1.62,2,2,3,3,4,2,2,2,0
,11:00~12:00,0,1,0,0,0,0,0,0,4,32.3,66,0.01,3.1,9,0.93,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,2,34.2,57,0,3.7,6,2.28,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,2,33.3,61,0,3.2,9,3.22,2,2,2,2,3,2,2,2,0
,14:00~15:00,0,1,0,0,1,0,0,0,2,30.7,73,0,2.2,9,2.04,2,2,2,2,3,2,2,2,0
,15:00~16:00,0,1,0,0,1,0,0,0,2,31.2,67,0,1.5,9,0.68,2,2,2,2,3,2,2,2,0
,16:00~17:00,0,1,0,0,1,0,0,0,2,30.6,64,0,2.7,1,0.53,2,2,2,2,3,2,2,2,0
,17:00~18:00,0,1,0,0,1,0,0,0,2,29.4,70,0,1.3,14,0.48,2,2,2,2,4,3,3,3,0
,18:00~19:00,0,1,0,0,0,0,1,0,2,28.5,74,0,1.9,8,0.28,3,3,3,3,5,4,3,3,0
,19:00~20:00,0,1,0,0,0,0,1,0,2,29.1,73,0,3.9,6,0.14,2,2,2,2,5,4,3,3,0
,20:00~21:00,0,1,0,0,0,0,1,0,2,28.6,65,0,4.4,9,0.02,2,2,2,2,4,3,3,3,0
,21:00~22:00,0,1,0,0,0,0,0,0,2,27.5,71,0,4.2,8,0,2,2,2,2,3,2,2,2,0
,22:00~23:00,0,1,0,0,0,0,0,0,2,27.5,71,0,3.5,10,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,0,1,0,0,0,0,0,0,2,27.3,72,0,3.8,11,0,1,1,1,1,2,1,1,1,0
2022.07.04,0:00~1:00,1,0,0,0,0,0,0,0,2,27,73,0,1.9,10,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,27.4,72,0,2.2,11,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,26.9,75,0,1.8,9,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,26.5,79,0,1.4,12,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,26.5,78,0,1.3,10,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,26.8,77,0,1.7,9,0.03,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,26.5,82,0,0.8,9,0.14,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,26.4,84,0,1.5,11,0.35,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,25.2,94,0,1.8,13,0.18,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,0,0,0,0,4,24.4,98,1.5,0.6,2,0.14,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,0,0,0,0,4,25,98,2,1.8,11,0.22,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,4,26.3,98,0,1.3,4,0.93,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,4,26.4,91,0,2.1,9,0.95,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,4,26.5,87,0,2.1,10,1.03,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,4,27.6,80,0,2.6,7,1.04,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,2,28.8,72,0,1.8,8,0.97,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,2,28.9,73,0,2.8,10,1.04,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,1,0,0,0,2,28.3,71,0,2,9,0.97,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,0,1,0,2,27.2,76,0,2.2,8,1.04,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,0,1,0,2,26.9,76,0,3.3,9,0.61,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,0,1,0,2,26.4,75,0,2.8,9,0.29,2,2,2,2,4,3,3,3,0
,21:00~22:00,1,0,0,0,0,0,0,0,1,25.7,76,0,1.9,8,0.1,2,2,2,2,3,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,1,25.7,76,0,2,8,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,1,25.9,76,0,2.8,9,0,1,1,1,1,2,1,1,1,0
2022.07.05,0:00~1:00,1,0,0,0,0,0,0,0,1,24.4,82,0,1.2,10,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,24.2,83,0,0.8,10,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,24.4,83,0,0.7,9,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,24.5,87,0,1.6,10,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,25.1,81,0,2.2,9,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,24.5,82,0,1.3,11,0.03,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,25.2,82,0,2.6,8,0.22,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,27,76,0,2.7,9,0.73,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,27.7,68,0,2.3,9,1.44,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,1,0,0,0,2,29.6,68,0,2.3,9,2.13,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,1,29.6,62,0,2.7,10,2.34,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,1,31.9,59,0,4.3,9,2.61,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,1,30.9,60,0,5.5,8,2.31,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,2,27.9,69,0,7.1,9,1.91,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,0,0,0,0,2,26.9,77,0.01,6.8,8,0.99,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,0,0,0,0,2,27.3,77,0.01,6.1,8,1.32,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,0,0,0,0,2,26.7,81,0.01,4.3,8,0.45,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,0,0,0,0,2,25.1,89,0.01,3.7,8,0.25,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,1,0,0,2,25.3,87,0.01,4.5,8,0.13,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,1,0,0,4,24.3,94,0.01,3.9,8,0.01,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,1,0,0,4,24.2,94,0.5,4.7,7,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,1,0,0,0,0,0,0,0,4,24.5,93,0.01,4.5,8,0,2,2,2,2,3,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,24.7,92,0.01,2.1,4,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,24.3,94,0.01,2.3,4,0,1,1,1,1,2,1,1,1,0
2022.07.06,0:00~1:00,1,0,0,0,0,0,0,0,4,23.9,99,1.5,2.2,2,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,23.8,98,0,3.1,1,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,23.9,97,0,3,1,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,23.9,96,0,2.7,1,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,23.8,97,0,2.4,1,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,23.7,97,0,2.7,0,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,24,96,0,2.2,0,0.08,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,24.8,89,0,2.2,0,0.33,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,25.7,85,0,1.5,15,0.48,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,1,0,0,0,2,26.8,78,0,2.6,0,0.8,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,2,28.6,69,0,4.9,1,1.48,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,2,29,69,0,3.3,1,1.22,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,2,29.5,66,0,2.5,0,2.12,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,2,29.5,65,0,5.3,1,1.02,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,2,28.8,68,0,3.7,2,1,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,2,28.2,73,0,2.2,14,0.54,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,2,29.3,71,0,2.6,0,0.75,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,1,0,0,0,2,27.9,71,0,4.3,2,0.46,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,1,0,0,2,26.9,77,0,4.7,2,0.4,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,1,0,0,2,25.3,82,0,5,2,0.09,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,1,0,0,2,24.8,84,0,4.4,2,0,2,2,2,2,5,4,3,3,0
,21:00~22:00,1,0,0,0,0,1,0,0,4,24.2,86,0,3.3,2,0,2,2,2,2,3,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,23.6,89,0,4,1,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,24.1,84,0,2.8,1,0,1,1,1,1,2,1,1,1,0
2022.07.07,0:00~1:00,1,0,0,0,0,0,0,0,4,24.1,84,0,3.2,2,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,23.8,85,0,3.4,1,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,23.2,91,0,1.7,0,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,23.5,90,0,1.3,1,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,23.8,88,0,2.2,0,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,23.9,88,0,1.9,0,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,24.3,85,0,1.9,0,0.13,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,24.7,83,0,1.2,0,0.36,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,25.8,78,0,3.9,2,0.76,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,1,0,0,0,2,25.5,76,0,3.4,1,0.65,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,2,25.9,74,0,2.1,1,0.67,2,2,3,3,4,2,2,2,0
