,,,,,,,,,,,,,,,,,,Mita-Line,,Oedo-Line,
,,weekday,holiday,rush hour,accident,construction,match,concert,festival,weather,temperature,humidity,precipitation,wind-speed,wind-direction,solar-radiation,,inbound,outbound,inner,outer
2022.07.01,0:00~1:00,Y,N,N,N,N,N,N,N,sunny,26.7,87,0,1,south,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,sunny,26.4,87,0,1.1,south-southeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,sunny,26.1,89,0,1.7,south-southeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,sunny,25.8,89,0,1.9,southwest,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,sunny,25.6,91,0,0.7,northwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,sunny,26.7,79,0,0.7,north-northwest,0.02,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,sunny,28.1,71,0,1.7,east-southeast,0.35,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,sunny,30.1,67,0,1,north-northwest,0.98,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,sunny,31.8,58,0,2.2,east-southeast,1.66,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,sunny,32.8,54,0,2,north-northwest,2.29,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,sunny,34.8,48,0,1.7,east-southeast,2.81,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,sunny,35.9,47,0,2.1,east-southeast,3.15,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,sunny,35.6,46,0,4.6,south-southeast,3.31,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,sunny,36.1,44,0,3.8,south-southeast,3.27,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,sunny,35.5,47,0,5.3,south-southeast,3.02,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,sunny,35.7,48,0,4,south-southeast,2.57,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,sunny,35.1,51,0,4.3,southeast,1.99,,3,2,2,2
,17:00~18:00,Y,N,N,N,Y,N,N,N,sunny,32.5,60,0,4.8,southeast,0.89,,3,2,3,2
,18:00~19:00,Y,N,Y,N,N,N,N,N,sunny,30.7,64,0,3.7,south,0.2,,4,3,3,3
,19:00~20:00,Y,N,Y,N,N,N,N,N,sunny,29.3,72,0,2.6,southeast,0.09,,4,3,3,3
,20:00~21:00,Y,N,N,N,N,N,N,N,sunny,27.8,81,0,3.6,south-southeast,0,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,sunny,27.5,84,0,2.2,southeast,0,,3,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,sunny,27.3,84,0,2.1,southeast,0,,2,2,2,2
