Drying_days,roaster_time,roaster_temperature,coca_melting_temperature,coca_melting_time,coca_melting_rotate_speed,Sugar_Mixer_temperature,Sugar_Mixer_rotate_speed,Sugar_Mixer_time,Conching_time,conching_temperature,conching_rotate_speed,pump1_temperature,pump1_pressure,pump1_Flow_rate,melting_tank_temperature,melting_tank_time,pump2_temperature,pump2_pressure,pump2_Flow_rate,tempering_machine_temperature,tempering_machine_time,tempering_machine_rotate_speed,pump3_temperature,pump3_pressure,pump3_Flow_rate,moulding_machine_temperature,moulding_machine_time,sweetness,color,hardness,glossiness,shape,bitterness,passed,roaster_failure,Cocoa_Butter_Melting_Tank_failure,Sugar_Mixer_failure,Conching_failure,Pump1_failure,Melting_Tank_failure,Pump2_failure,Tempering_Machine_failure,Pump3_failure,moulding_machine_failure,
5,39,79,47,30,47,46,357,20,224,57,52,63,80,31,51,29,57,78,31,49,42,39,61,63,31,8,29,1,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
3,40,78,45,30,45,45,403,20,182,50,63,60,66,30,47,28,49,74,30,46,36,40,59,58,30,7,26,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
6,42,80,49,28,49,47,440,20,249,61,61,59,68,32,51,30,59,71,32,49,44,39,57,64,32,9,29,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,39,80,49,33,49,47,450,20,255,62,61,53,58,32,47,30,59,71,32,50,44,43,66,64,32,9,30,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
5,39,79,46,26,46,46,435,21,192,52,61,63,54,30,54,29,53,70,31,47,39,40,61,61,31,8,27,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,82,55,26,55,49,428,22,359,80,60,52,75,34,50,32,72,68,34,55,55,41,61,72,34,11,35,3,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,
4,40,80,50,27,50,47,426,19,267,65,64,59,56,32,49,30,60,68,32,50,45,43,58,65,32,9,30,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,81,53,39,53,48,439,20,318,73,53,65,66,33,48,31,64,70,33,51,48,41,57,67,33,10,31,3,3,3,2,4,2,1,0,0,0,0,0,0,0,0,0,1,
4,39,78,45,26,45,45,443,22,186,51,57,58,51,30,53,28,51,66,30,46,38,35,58,59,30,7,26,3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
5,42,78,45,33,45,45,387,20,186,51,62,56,73,30,51,28,51,66,30,46,38,41,61,59,30,7,26,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
4,42,81,54,31,54,48,371,20,348,78,69,59,67,34,49,31,67,75,33,53,51,43,63,69,33,10,33,2,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,
5,39,81,54,28,54,48,443,20,340,77,56,64,57,34,49,31,66,73,33,52,50,39,60,69,33,10,32,2,3,3,3,3,2,1,0,0,1,0,0,0,0,1,0,0,
5,40,80,51,36,51,47,436,21,286,68,66,54,68,32,47,30,61,70,32,50,46,42,61,66,32,9,30,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,80,50,30,50,47,374,20,266,64,57,53,58,32,45,30,60,70,32,50,45,44,61,65,32,9,30,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
6,40,81,53,34,53,48,440,20,330,75,57,69,53,33,49,31,65,67,33,52,49,42,61,68,33,10,32,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,
3,41,79,47,33,47,46,423,19,214,56,68,53,54,31,48,29,56,69,31,48,41,44,59,62,31,8,28,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,
3,41,81,52,28,52,48,363,22,312,72,68,54,75,33,49,31,63,67,33,51,48,42,60,67,33,10,31,2,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,
3,39,79,46,26,46,46,375,18,201,53,61,66,71,30,51,29,54,72,31,48,40,39,62,61,31,8,28,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,
5,40,81,52,28,52,48,377,20,306,71,61,65,78,33,46,31,63,63,33,51,47,36,59,67,33,10,31,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,
4,40,80,49,32,49,47,388,20,244,61,64,53,66,31,49,30,58,66,32,49,44,38,59,64,32,9,29,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,
3,40,80,51,33,51,47,350,21,295,69,53,69,56,33,45,30,62,74,32,51,46,40,64,66,32,9,31,2,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
